Indicator,Geographic area,2023/01,2023/02,2023/03,2023/04,2024/01,2024/02,2024/03,2024/04
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,07 Chiapas,32542,39908,37670,36391,17741,15189,27181,28631
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,08 Chihuahua,64998,74191,83752,93404,60215,67198,67705,61303
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,09 Ciudad de México,286957,277851,280502,271305,231435,289568,300743,280743
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,10 Durango,24715,27940,24576,28180,15647,15087,19482,16980
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,11 Guanajuato,38978,48349,43578,60208,32187,43767,42884,35244
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,12 Guerrero,19499,25157,21581,21437,13712,17172,14350,17861
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,13 Hidalgo,42721,36309,25774,36851,28318,24145,30205,23572
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,14 Jalisco,168249,175838,207203,159343,118769,103337,111218,143383
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,15 México,217547,231357,197852,241954,162534,191005,178885,159945
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,64901,62024,81285,82555,43486,47454,50714,50806
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,17 Morelos,6341,6216,5242,7895,3774,2182,4385,5481
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,18 Nayarit,22027,26877,26756,30015,19139,18055,18347,21870
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,19 Nuevo León,190940,175957,216175,211076,167396,148843,152298,156170
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,20 Oaxaca,24228,28415,25613,28644,14338,17646,18209,18632
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,21 Puebla,55462,50902,59316,63793,39398,45962,39829,38049
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,22 Querétaro,48982,59297,48264,28192,22221,22223,24722,25386
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,23 Quintana Roo,45067,46097,49148,46184,33737,31132,38012,45350
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,24 San Luis Potosí,37365,40128,43675,47141,28454,31538,32025,27281
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,25 Sinaloa,78768,76398,81399,86684,44197,54278,41788,44506
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,26 Sonora,55031,53077,48741,51656,21324,30896,29405,34185
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,27 Tabasco,41765,36543,48336,47393,28334,25110,23737,30850
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,28 Tamaulipas,49380,46282,47994,57011,30902,31348,37640,32352
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,29 Tlaxcala,9824,11341,10925,12355,7778,6897,7208,6199
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,64699,57249,85530,74643,63193,61823,68821,56003
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,31 Yucatán,41354,41218,40218,48559,30350,31479,32463,43246
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,32 Zacatecas,14933,13417,15657,15992,8368,8805,14996,11975
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,1331234,1369964,1458623,1479950,1004956,1063538,1098941,1063805
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,01 Aguascalientes,12627,8599,10950,12365,8553,7157,8778,10118
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,02 Baja California,23186,24495,27229,27542,19521,16733,23191,18136
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,03 Baja California Sur,37636,43307,43756,45443,25893,25087,30095,26945
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,04 Campeche,11849,12607,14881,14140,9720,9701,10676,10174
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,50886,58707,63905,64950,39084,41384,46628,46088
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,06 Colima,12380,13735,14115,13556,9918,9422,9777,6667
